objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
psychiana011,image11.png,,Lakeshore Cottage,image/png,"Leacock’s lakeshore cottage, c. 1910.",,,1910,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana012,image12.png,,"Mississaga Street, 1910.",image/png,"Mississaga Street, Orillia, c. 1910. The Wide thoroughfare would be known Missinabi Street in Sunshine Sketches of a Little Town.",,,1910,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image12,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana013,image13.png,,The Grand Trunk,image/png,"The Grand Trunk, Orillia, where “the train to Mariposa” pulled in every evening.",,,,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image13,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana014,image14.png,,St. Jame's Anglican Church fire.,image/png,"The fire at St. James’ Anglican Church in 1895 inspired “The Beacon on the Hill” in Sunshine Sketches. In the Sketches, the church fire was a means of paying off the mortgage. In real life there was no such conspiracy: the fire was purely accidental.",,,1895,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image14,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana015,image15.png,,Hatley's store,image/png,"Hatley’s store, c. 1890. Identified as “Hatley’s” in Sunshine Sketches.",,,1890,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image15,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana016,image16.png,,"Stephen, Beatric and Stevie Leacock",image/png,"Proud parents Stephen and Trix pose with young Stevie at the Cote-des-Neiges house in Montreal, c. May 1915.",,,1915,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image16,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana017,image17.png,,Boathouse at The Old Brewery Bay,image/png,"The boathouse, constructed in 1919. Leacock’s ivory tower was on the second floor. He turned out his 1500 words a day on a homemade desk facing the bay through open windows.",,,1919,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image17,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana018,image18.png,,Plans for The Old Brewery Bay,image/png,"Elaborate plans for the house on Old Brewery Bay, 1926, from architects Chapman, Oxley, and Bishop.",,,1926,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image18,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana019,image19.png,,The Old Brewery Bay,image/png,"Leacock’s completed summer home, “The Old Brewery Bay,” completed in the summer of 1928.",,,1928,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image19,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana020,image20.png,,Leacock's Gravemarker,image/png,"The Leacock grave marker, St. George’s churchyard, Sutton, Ontario.",,,,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image20,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana021,image23.png,,The Old Brewery Bay in disrepair,image/png,"For thirteen years after his death the Leacock summer home was abandoned to the elements, the lawns and gardens overgrown. This picture was taken in 1957, as restoration began.",,,1957,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image23,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana022,image24.png,,Leacock Home Grand Opening,image/png,"C. H. Hale cutting the ribbon at the Leacock Home opening, July 5, 1958.",,,1958,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image24,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana023,image25.png,,Last Train to Maripossa ,image/png,"Last Train to Mariposa, June 21, 1958. Pete McGarvey with engineer and trainman. The evening train had pulled into “Mariposa” (Orillia) at the same hour for almost sixty years.",,,1958,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image25,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana024,image26.png,,Louis and Mary Ruby,image/png,"Louis and Mary Ruby, unveiling a plaque acknowledging their contribution of over 30,000 artifacts to the home.",,,,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image26,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana025,image27.png,,Ralph Curray,image/png,"Curator Ralph Curray in the restored living room, July 1959.",,,1959,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image27,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana026,image28.png,,Reconstructed boathouse opening,image/jpeg,"Ribbon-cutting at the boathouse, September 9, 1996. Front row, left to right: Gwen Richardson, board chair, Jim Dykes, Jim Storey (holding ribbon). Back row, Wes Trinier, past board chair, Jay Cody, Pete McGarvey, Hon. Julie Munro, provin- cial culture minister, curator Daphne Mainprize.",,,1996,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image28,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana037,image29.png,,National Historic Site Plaques,image/jpeg,"Twin National Historic Site markers at the Leacock Museum - a rarity - honour both the humorist and his summer estate. The first marker reads, ""This property on the Lake Couchiching Shore, purchased by Stephen Leacock in 1908 and named 'The Old Brewery Bay,' was a source of creativity and happiness for Canada's most celebrated humorist. Here he absorbed the impressions that inspired his masterpiece, Sunshine Sketches of a Little Town, and indulged his passions for fishing, sailing, mixed farming, and family and friends.” Photo by Julie Langpeter ",,,1992,,single-page; photographs,,,,,,,"McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.",,1550023144,image29,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
psychiana038,leacock_podcast.mp3,,Small Gems of Canada: Episode 1,audio/mp3,"We all need a good laugh, and Canadians have proven themselves, time and time again, to possess a robust sense of humour. But, have you ever wondered where that humour could have come from? Have you ever asked yourself, who was one of the first great pioneers of Canadian humour? For many, the answer is Stephen Leacock, one of the most prolific authors of Canadian humour in the first half of the twentieth-century, and today the Leacock Museum, on the coast of Old Brewery Bay, stands as a monument to his historical and literary legacy. <p> In this podcast we give a brief history of Stephen Leacock and the Stephen Leacock Museum. We will learn about how The Old Brewery Bay came to become a museum, its place as a national Canadian historic treasure, and how it serves as a piece of the local heritage of Orillia. <p> Acknowledgments: <p> We would like to thank Jenny Martynyshyn for allowing us to interview her. <p> Guests: <p> Jenny Martynyshyn, Museum Coordinator. <p> References: <p>“About Us.” Stephen Leacock Museum. Accessed on October 6, 2023. https://www.orillia.ca/en/visiting/about-leacock.aspx?_mid_=21618 <p> The Gazette. Montreal: Gazette-Montreal, Ltd., 1867. <p> Toronto Star. Toronto, 1892. <p> The Toronto Telegram. Toronto, 1876. <p> Doyle, James. Stephen Leacock : the Sage of Orillia. Toronto, ON: ECW Press, 1992. <p> Leacock, Stephen, David Staines, and Barbara Nimmo. The Letters of Stephen Leacock. Don Mills, Ont: Oxford University Press, 2006. <p> MacMillan, Margaret. Stephen Leacock. Toronto: Penguin Canada, 2009. <p> McGarvey, Pete. The Old Brewery Bay a Leacockian Tale. Toronto, ON: Dundurn Press, 1994. <p> McGarvey, Pete., and Daphne. Mainprize. The Stephen Leacock Picture Book. Toronto: Dundurn Pr., 1998.<p > Music Credits: <p> “Black and White 01“: Created by Medgatone. This work is being used under CC BY-NC-SA 3.0 (https://creativecommons.org/licenses/by-nc-sa/3.0/). <p> “Black and White 02“: Created by Medgatone. This work is being used under CC BY-NC-SA 3.0 (https://creativecommons.org/licenses/by-nc-sa/3.0/).",Matthew Alexander,,2023-11-22,,audio,,Orillia,44.608246,-79.419678,,,,,,stephen_leacock,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/vocab/InC-EDU/1.0/,audio,eng,
